Designator,Footprint,Quantity,Value,LCSC Part #
BOOT,SW_SPDT_PCM12,1,SW_SPDT,
"C1, C2, C3, C4, C9",0402,5,100n,
"C10, C11",0402,2,10p,
"C12, C13, C5",0603,3,10u,
C6,0402,1,10n,
"C7, C8",0402,2,1u,
"DEBUG, I2C, UART",PinHeader_1x04_P2.54mm_Vertical,3,Conn_01x04_Pin,
FB1,0603,1,120R,
J1,USB_Micro-B_Amphenol_10118193-0001LF_Horizontal,1,USB_B_Micro,
ON,0603,1,GREEN,
R1,0402,1,10k,
"R2, R3",0402,2,1k5,
"R4, R5",0402,2,2k2,
U1,LQFP-48_7x7mm_P0.5mm,1,STM32F103C8T6,
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16MHz,
